month,1,2,3,4,5,6,7,8,9,10,11,12
서울,42,41,45,44,35,36,21,23,19,33,42,42
부산,32,34,33,36,32,27,18,31,24,30,31,33
대구,37,38,38,39,38,35,22,25,25,33,40,38
인천,42,37,41,39,31,32,21,24,20,34,39,39
광주,36,32,35,38,31,31,15,22,21,31,32,33
대전,41,38,40,41,32,34,16,20,21,33,37,38
울산,30,31,34,36,36,32,20,28,25,30,31,30
세종,47,43,47,44,34,37,17,20,20,35,40,44
경기도,47,44,49,47,38,41,23,24,22,38,45,46
강원도,34,36,37,39,29,35,17,19,18,28,34,36
충청북도,46,42,43,43,33,36,18,21,22,36,41,44
충청남도,45,44,48,45,35,35,22,24,24,39,42,42
전라북도,40,36,41,41,34,36,18,22,23,35,36,36
전라남도,31,31,31,34,29,26,17,28,22,28,29,28
경상북도,34,35,36,38,33,32,18,23,22,31,36,36
경상남도,29,32,31,33,32,29,20,29,24,29,30,30
제주도,31,34,35,41,36,27,20,29,26,31,28,24
